
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604481556.6482  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577386.5451  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577401.3338  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577416.3393  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577431.7847  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577446.6831  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577461.7251  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577476.6959  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577492.2097  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577507.2568  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577522.2204  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577537.1089  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577551.5763  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577566.45  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577581.4509  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577596.492  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577611.9472  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577626.84  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577641.9002  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577656.8449  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577672.2492  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577687.1994  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
